"Site description, location",FLUXNET site code,PhenoCam site name,Lat,Long,Elev,EPA Ecoregion,Mean annual temperature,Mean January temperature,Mean July temperature,Mean annual precipitation,Dominant species,DOI,Publication,doi
"Pole sapling Douglas-fir stand, British Columbia",CA-Ca3,vancouverisland,49.5346,-124.9004,173,7,9.94,,,1676,Pseudotsuga menziesii,"T. Andrew Black (2001-) AmeriFlux CA-Ca3 British Columbia - Pole sapling Douglas-fir stand, Dataset. https://doi.org/10.17190/AMF/1480302",-,https://doi.org/10.17190/AMF/1480302
"Western Boreal, Mature Black Spruce, Saskatchewan",CA-Obs,canadaOBS,53.98717,-105.11779,628.94,5,0.79,,,405,"Picea mariana, Larix laricina","T. Andrew Black (1999-) AmeriFlux CA-Obs Saskatchewan - Western Boreal, Mature Black Spruce, Dataset. https://doi.org/10.17190/AMF/1375198",-,https://doi.org/10.17190/AMF/1375198
"Eastern Boreal, Mature Black Spruce, Quebec",CA-Qfo,chibougamau,49.6925,-74.34206,382,5,-0.36,,,962,Picea mariana ,"Hank A. Margolis (2003-) AmeriFlux CA-Qfo Quebec - Eastern Boreal, Mature Black Spruce, Dataset. https://doi.org/10.17190/AMF/1246829","Bergeron, O., Margolis, H. A., Black, T. A., Coursolle, C., Dunn, A. L., Barr, A. G., Wofsy, S. C. (2007) Comparison Of Carbon Dioxide Fluxes Over Three Boreal Black Spruce Forests In Canada, Global Change Biology, 13(1), 89-107.",https://doi.org/10.17190/AMF/1246829
"Turkey Point 2002 Plantation White Pine, Ontario",CA-TP1,turkeypointenf02,42.66093611,-80.55951944,265,8,8,,,1036,Pinus strobus,"M. Altaf Arain (2003-) AmeriFlux CA-TP1 Ontario - Turkey Point 2002 Plantation White Pine, Dataset. https://doi.org/10.17190/AMF/1246009","Peichl, M., Brodeur, J. J., Khomik, M., Arain, M. A. (2010) Biometric And Eddy-Covariance Based Estimates Of Carbon Fluxes In An Age-Sequence Of Temperate Pine Forests, Agricultural And Forest Meteorology, 150(7-8), 952-965.",https://doi.org/10.17190/AMF/1246009
"Turkey Point 1974 Plantation White Pine, Ontario",CA-TP3,turkeypointenf74,42.70681111,-80.34831389,216,8,8,,,1036,Pinus strobus,"M. Altaf Arain (2003-) AmeriFlux CA-TP3 Ontario - Turkey Point 1974 Plantation White Pine, Dataset. https://doi.org/10.17190/AMF/1246011","Peichl, M., Brodeur, J. J., Khomik, M., Arain, M. A. (2010) Biometric And Eddy-Covariance Based Estimates Of Carbon Fluxes In An Age-Sequence Of Temperate Pine Forests, Agricultural And Forest Meteorology, 150(7-8), 952-965.",https://doi.org/10.17190/AMF/1246011
"Turkey Point 1939 Plantation White Pine, Ontario ",CA-TP4,turkeypointenf39,42.710161,-80.357376,232,8,8,,,1036,"Pinus strobus, Abies balsamea, Quercus velutina, Quercus alba, Acer rubrum","M. Altaf Arain (2003-) AmeriFlux CA-TP4 Ontario - Turkey Point 1939 Plantation White Pine, Dataset. https://doi.org/10.17190/AMF/1246012","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241.",https://doi.org/10.17190/AMF/1246012
"Howland Forest, Maine",US-Ho1,howland1,45.2041,-68.7402,60,8,5.27,,,1070,"Picea rubens, Tsuga canadensis, Acer rubrum ","David Hollinger (1996-) AmeriFlux US-Ho1 Howland Forest (main tower), Dataset. https://doi.org/10.17190/AMF/1246061",Hollinger et al. 1999; Richardson et al 2018,https://doi.org/10.17190/AMF/1246061
"Metolius mature ponderosa pine, Oregon",US-Me2,oregonMP,44.4523,-121.5574,1253,6,6.28,,,523,Pinus ponderosa  ,"Bev Law (2002-) AmeriFlux US-Me2 Metolius mature ponderosa pine, Dataset. https://doi.org/10.17190/AMF/1246076",-,https://doi.org/10.17190/AMF/1246076
"Metolius Young Pine Burn, Oregon",US-Me6,oregonYP,44.3232842,-121.6078,998,6,7.6,,,494,Pinus ponderosa  ,"Bev Law (2010-) AmeriFlux US-Me6 Metolius Young Pine Burn, Dataset. https://doi.org/10.17190/AMF/1246128","Ruehr, N. K., Martin, J. G., Law, B. E. (2012) Effects Of Water Availability On Carbon And Water Exchange In A Young Ponderosa Pine Forest: Above- And Belowground Responses, Agricultural And Forest Meteorology, 164, 136-148.",https://doi.org/10.17190/AMF/1246128
"Niwot Ridge Forest (LTER NWT1),Colorado",US-NR1,niwot5,40.0329,-105.5464,3050,6,1.5,,,800,"Picea engelmannii, Abies lasiocarpa, Pinus contorta","Peter D. Blanken, Russel K. Monson, Sean P. Burns, David R. Bowling, Andrew A. Turnipseed (1998-) AmeriFlux US-NR1 Niwot Ridge Forest (LTER NWT1), Dataset. https://doi.org/10.17190/AMF/1246088","Burns, S. P., Blanken, P. D., Turnipseed, A. A., Hu, J., Monson, R. K. (2015) The Influence Of Warm-Season Precipitation On The Diel Cycle Of The Surface Energy Balance And Carbon Dioxide At A Colorado Subalpine Forest Site, Biogeosciences, 12(23), 7349-7377",https://doi.org/10.17190/AMF/1246088
"Austin Cary, Slashpine",US-SP1,austincary,29.73807,-82.21877,50,8,20.06,,,1310,"Pinus palustris, Pinus elliotti ","Tim Martin (2000-) AmeriFlux US-SP1 Slashpine-Austin Cary- 65yrs nat regen, Dataset. https://doi.org/10.17190/AMF/1246100",-,https://doi.org/10.17190/AMF/1246100